Year,Club,Expenditure,Arrivals,Income,Departures,Balance,Wins,Draws,Lose,Goals scored,Goals conceded,+/-,Points,Next_Season_Points
2020,Tottenham Hotspur,110.5,15,13.3,11,-97.2,16,11,11,61,47,14,59,62
2020,Aston Villa,101.35,12,2.77,15,-98.58,9,8,21,41,67,-26,35,55
2020,Wolverhampton Wanderers,87.59,21,79.2,24,-8.39,15,14,9,51,40,11,59,45
2020,Arsenal FC,86.0,16,19.15,16,-66.85,14,14,10,56,48,8,56,61
2020,Liverpool FC,84.8,17,17.2,13,-67.6,32,3,3,85,33,52,99,69
2020,Manchester United,83.95,17,19.5,17,-64.45,18,12,8,66,36,30,66,74
2020,Everton FC,74.37,20,4.43,20,-69.95,13,10,15,44,56,-12,49,59
2020,Sheffield United,62.7,16,0.0,19,-62.7,14,12,12,39,39,0,54,23
2020,Leicester City,59.4,20,53.77,18,-5.63,18,8,12,67,41,26,62,66
2020,West Ham United,54.7,16,45.41,17,-9.29,10,9,19,49,62,-13,39,65
2020,Brighton & Hove Albion,50.1,28,20.6,22,-29.5,9,14,15,39,54,-15,41,41
2020,Newcastle United,38.75,10,0.78,15,-37.97,11,11,16,38,58,-20,44,45
2020,Southampton FC,37.3,23,26.3,18,-11.0,15,7,16,51,60,-9,52,43
2020,Crystal Palace,22.4,13,20.0,8,-2.4,11,10,17,31,50,-19,43,44
2020,Burnley FC,1.1,6,2.3,6,1.2,15,9,14,43,50,-7,54,39
2019,Manchester City,167.7,31,70.8,30,-96.9,32,2,4,95,23,72,98,81
2019,Chelsea FC,144.0,43,227.2,46,83.2,21,9,8,63,39,24,72,66
2019,Manchester United,159.0,11,38.0,11,-121.0,19,9,10,65,54,11,66,66
2019,Arsenal FC,152.4,14,58.5,18,-93.9,21,7,10,73,51,22,70,56
2019,Leicester City,101.5,13,81.3,11,-20.2,15,7,16,51,48,3,52,62
2019,Tottenham Hotspur,101.0,10,45.55,9,-55.45,23,2,13,67,39,28,71,59
2019,Everton FC,100.9,11,48.5,20,-52.4,15,9,14,54,46,8,54,49
2019,Brighton & Hove Albion,83.4,15,4.5,17,-78.9,9,9,20,35,60,-25,36,41
2019,Wolverhampton Wanderers,87.3,15,52.1,22,-35.2,16,9,13,47,46,1,57,59
2019,Crystal Palace,83.0,7,4.5,6,-78.5,14,7,17,51,53,-2,49,43
2019,Southampton FC,81.8,11,65.9,15,-15.9,9,12,17,45,65,-20,39,52
2019,West Ham United,78.3,13,28.5,19,-49.8,15,7,16,52,55,-3,52,39
2019,Burnley FC,57.5,6,18.0,8,-39.5,11,7,20,45,68,-23,40,54
2019,Liverpool FC,10.9,4,33.95,13,23.05,30,7,1,89,22,67,97,99
2019,Newcastle United,65.5,11,31.6,14,-33.9,12,9,17,42,48,-6,45,44
2019,Watford FC,55.0,14,33.0,18,-22.0,14,8,16,52,59,-7,50,34
2018,Chelsea FC,208.8,30,83.25,31,-125.55,21,7,10,62,38,24,70,72
2018,Liverpool FC,182.2,18,41.32,21,-140.88,21,12,5,84,38,46,75,97
2018,Leicester City,114.6,17,95.8,18,-18.8,12,11,15,56,60,-4,47,52
2018,West Ham United,100.9,18,13.77,13,-87.14,10,12,16,48,68,-20,42,52
2018,Everton FC,99.8,19,28.65,23,-71.15,13,10,15,44,58,-14,49,54
2018,AFC Bournemouth,91.6,14,20.2,16,-71.4,11,11,16,45,61,-16,44,45
2018,Brighton & Hove Albion,90.62,28,13.62,29,-77.0,9,13,16,34,54,-20,40,36
2018,Manchester United,82.7,10,30.55,10,-52.15,25,6,7,68,28,40,81,66
2018,Arsenal FC,80.15,17,9.1,12,-71.05,19,6,13,74,51,23,63,70
2018,Manchester City,78.59,19,57.6,22,-20.99,32,4,2,106,27,79,100,98
2018,Southampton FC,62.25,16,26.1,18,-36.15,7,15,16,37,56,-19,36,39
2018,Newcastle United,59.75,22,51.05,23,-8.7,12,8,18,39,47,-8,44,45
2018,Huddersfield Town,50.7,14,12.33,16,-38.37,9,10,19,28,58,-30,37,16
2018,Burnley FC,33.0,10,8.0,13,-25.0,14,12,12,36,39,-3,54,40
2018,Watford FC,30.1,26,51.84,27,21.74,11,8,19,44,64,-20,41,50
2018,Crystal Palace,11.85,11,0.35,16,-11.5,11,11,16,45,55,-10,44,49
2018,Tottenham Hotspur,0.0,4,5.35,4,5.35,23,8,7,74,36,38,77,71
2017,Manchester City,317.5,31,91.35,32,-226.15,23,9,6,80,39,41,78,100
2017,Chelsea FC,260.5,40,194.6,31,-65.9,30,3,5,85,33,52,93,70
2017,Everton FC,203.2,23,126.38,20,-76.82,17,10,11,62,44,18,61,49
2017,Manchester United,198.4,12,45.5,10,-152.9,18,15,5,54,29,25,69,81
2017,Liverpool FC,173.65,13,184.5,15,10.85,22,10,6,78,42,36,76,75
2017,Arsenal FC,152.85,10,162.4,16,9.55,23,6,9,77,44,33,75,63
2017,Tottenham Hotspur,121.0,15,103.8,12,-17.2,26,8,4,86,26,60,86,77
2017,Leicester City,83.85,14,50.1,13,-33.75,12,8,18,48,63,-15,44,47
2017,Watford FC,73.4,32,18.74,30,-54.66,11,7,20,40,68,-28,40,41
2017,Swansea City,73.39,21,81.1,24,7.72,12,5,21,45,70,-25,41,33
2017,Southampton FC,61.25,12,98.35,14,37.1,12,10,16,41,48,-7,46,36
2017,Stoke City,57.7,18,35.14,17,-22.56,11,11,16,41,56,-15,44,33
2017,West Ham United,56.8,15,64.02,25,7.22,12,9,17,47,64,-17,45,42
2017,Crystal Palace,55.95,15,3.0,18,-52.95,12,5,21,50,63,-13,41,44
2017,West Bromwich Albion,53.5,17,2.05,11,-51.45,12,9,17,43,51,-8,45,31
2017,Burnley FC,35.74,20,50.0,22,14.26,11,7,20,39,55,-16,40,54
2017,AFC Bournemouth,34.3,15,0.0,14,-34.3,12,10,16,55,67,-12,46,44
2016,Manchester City,216.25,31,35.35,25,-180.9,19,9,10,71,41,30,66,78
2016,Manchester United,185.0,8,47.25,13,-137.75,19,9,10,49,35,14,66,69
2016,Chelsea FC,132.8,27,108.9,30,-23.9,12,14,12,59,53,6,50,93
2016,Arsenal FC,113.0,11,10.35,12,-102.65,20,11,7,65,36,29,71,75
2016,Crystal Palace,101.2,22,50.2,24,-51.0,11,9,18,39,51,-12,42,41
2016,Leicester City,92.1,17,66.05,18,-26.05,23,12,3,68,36,32,81,44
2016,Everton FC,86.0,18,60.8,19,-25.2,11,14,13,59,55,4,47,61
2016,Tottenham Hotspur,83.5,8,52.3,8,-31.2,19,13,6,69,35,34,70,86
2016,West Ham United,83.5,22,41.0,15,-42.5,16,14,8,65,51,14,62,45
2016,Liverpool FC,79.9,21,88.98,19,9.08,16,12,10,63,50,13,60,76
2016,Watford FC,70.45,29,58.1,32,-12.35,12,9,17,40,50,-10,45,40
2016,Southampton FC,68.9,12,85.05,9,16.15,18,9,11,59,41,18,63,46
2016,Swansea City,58.1,21,49.3,17,-8.8,12,11,15,42,52,-10,47,41
2016,Stoke City,42.17,14,3.8,13,-38.37,14,9,15,41,55,-14,51,44
2016,Sunderland AFC,41.9,25,23.77,23,-18.13,9,12,17,48,62,-14,39,24
2016,AFC Bournemouth,40.69,19,23.69,31,-17.0,11,9,18,45,67,-22,42,46
2016,West Bromwich Albion,37.9,13,26.98,14,-10.93,10,13,15,34,48,-14,43,45
